frame_number,keypoint,Elbow angle,Knee angle,Shoulder-Elbow angle
1,"[[    0.32039     0.28089]
 [    0.33253     0.27406]
 [          0           0]
 [     0.3582     0.28256]
 [          0           0]
 [    0.34717     0.33415]
 [    0.36038     0.32265]
 [    0.33314     0.40101]
 [          0           0]
 [    0.28906      0.4334]
 [          0           0]
 [    0.34069     0.44656]
 [    0.34557     0.44162]
 [    0.32434     0.55293]
 [    0.31384     0.54844]
 [    0.39857     0.65427]
 [    0.36381     0.64572]]",144.85069849734236,146.85354948437237,6.019191649731191
2,"[[     0.3211     0.28473]
 [     0.3318     0.27809]
 [          0           0]
 [    0.35402     0.28473]
 [          0           0]
 [    0.34668     0.33271]
 [    0.35871     0.32335]
 [    0.33587     0.39924]
 [          0           0]
 [    0.29362      0.4371]
 [          0           0]
 [    0.34206     0.44701]
 [    0.34681     0.44252]
 [    0.32374     0.55208]
 [    0.31518      0.5458]
 [    0.39241     0.65554]
 [    0.36461     0.64284]]",148.59373403173163,148.25086122229322,4.8453780294481845
3,"[[    0.31802     0.29177]
 [    0.32822     0.28453]
 [          0           0]
 [    0.35161     0.28642]
 [          0           0]
 [    0.34681     0.33093]
 [    0.35863     0.32293]
 [    0.33456     0.40027]
 [          0           0]
 [     0.2915      0.4399]
 [          0           0]
 [    0.34291      0.4487]
 [    0.34829     0.44492]
 [    0.32263     0.55345]
 [    0.31708     0.54987]
 [    0.38613     0.65556]
 [    0.36119     0.64714]]",149.89031320454467,148.89106167286363,5.696927163046163
4,"[[    0.31576     0.29253]
 [    0.32543     0.28537]
 [          0           0]
 [    0.34866     0.28665]
 [          0           0]
 [    0.34663     0.33095]
 [    0.35752     0.32331]
 [    0.33215     0.40119]
 [          0           0]
 [    0.29029     0.44068]
 [          0           0]
 [    0.34426     0.44905]
 [    0.34952     0.44514]
 [     0.3242     0.55215]
 [    0.31968     0.54817]
 [    0.37483     0.65327]
 [    0.35292     0.64506]]",151.7256380950415,153.04875796900214,7.375860998999298
5,"[[    0.31275     0.28462]
 [    0.32215     0.27841]
 [          0           0]
 [    0.34402     0.28534]
 [          0           0]
 [    0.34394     0.33436]
 [    0.35331     0.32556]
 [    0.33202     0.40257]
 [          0           0]
 [    0.29039     0.44232]
 [          0           0]
 [    0.34135     0.45139]
 [    0.34666     0.44643]
 [    0.32039     0.55409]
 [    0.32247     0.54584]
 [    0.36344     0.65483]
 [    0.35783     0.64018]]",150.81470668444442,155.32853443243872,6.058151150928763
6,"[[     0.3091     0.27915]
 [    0.31782     0.27299]
 [          0           0]
 [    0.33875     0.28158]
 [          0           0]
 [     0.3392     0.33462]
 [    0.36065     0.32299]
 [    0.32529     0.40395]
 [          0           0]
 [    0.28209     0.44117]
 [          0           0]
 [    0.33675     0.45498]
 [     0.3507     0.44828]
 [    0.31417     0.56419]
 [    0.32643     0.55294]
 [     0.3526     0.67044]
 [    0.35417     0.65258]]",148.99832979040514,157.65509892870412,7.146946720506567
7,"[[    0.30706     0.27376]
 [    0.31744     0.26804]
 [          0           0]
 [    0.34075     0.27944]
 [          0           0]
 [     0.3383     0.33597]
 [    0.35581     0.32387]
 [    0.32332     0.40544]
 [          0           0]
 [    0.28188     0.44096]
 [          0           0]
 [    0.33503     0.45666]
 [    0.34599     0.45007]
 [    0.31773     0.56835]
 [    0.32812      0.5592]
 [    0.34542     0.67587]
 [    0.34711     0.66246]]",149.43802398845258,163.6702182787606,7.464352638307313
8,"[[    0.30589     0.27571]
 [    0.31541     0.26978]
 [          0           0]
 [    0.33624     0.28042]
 [          0           0]
 [    0.33341      0.3363]
 [    0.35928     0.32443]
 [    0.31939     0.40631]
 [          0           0]
 [    0.28135     0.44088]
 [          0           0]
 [    0.33306     0.46054]
 [    0.35001     0.45435]
 [    0.31724     0.57162]
 [    0.33289     0.56343]
 [    0.34734     0.67957]
 [    0.35271     0.66713]]",150.4624920564023,163.3403889265719,7.82934671828347
9,"[[    0.30715     0.28011]
 [    0.31654     0.27393]
 [          0           0]
 [    0.33906     0.28448]
 [          0           0]
 [    0.33548     0.33828]
 [    0.36016     0.32793]
 [    0.32238     0.40517]
 [          0           0]
 [    0.28218     0.43593]
 [          0           0]
 [    0.33738     0.45846]
 [    0.35308     0.45314]
 [    0.32225     0.57137]
 [    0.33731      0.5646]
 [    0.35317     0.68274]
 [    0.35897     0.67073]]",145.45216621423776,163.71721865051802,8.405375127371409
10,"[[    0.30695     0.28657]
 [    0.31534     0.28017]
 [          0           0]
 [    0.33381      0.2868]
 [          0           0]
 [    0.33138     0.33775]
 [    0.36192     0.32671]
 [    0.31778     0.40728]
 [          0           0]
 [    0.28251     0.43715]
 [          0           0]
 [    0.33484     0.46106]
 [    0.35446     0.45554]
 [    0.32064     0.57308]
 [    0.33944     0.56508]
 [    0.35325     0.68188]
 [    0.36217      0.6691]]",148.31485592220994,163.15977371786215,8.87912946145648
